Date,Close,Volume,Open,High,Low
01/03/2023,89.7,20738460,89.83,91.55,89.02
12/30/2022,88.73,19190300,87.37,88.83,87.03
12/29/2022,88.95,18280660,87.03,89.37,86.99
12/28/2022,86.46,17879570,87.5,88.52,86.37
12/27/2022,87.93,15470870,89.31,89.5,87.54
12/23/2022,89.81,17815010,87.62,90.1,87.62
12/22/2022,88.26,23656070,88.93,89.18,86.94
12/21/2022,90.25,20336390,89.73,90.92,88.91
12/20/2022,89.63,21976850,88.73,89.78,88.04
12/19/2022,89.15,23020540,90.88,91.2,88.93
12/16/2022,90.86,48485510,91.2,91.75,90.01
12/15/2022,91.2,28298760,93.54,94.03,90.43
12/14/2022,95.31,26452940,95.54,97.22,93.94
12/13/2022,95.85,34788520,98.07,99.8,95.38
12/12/2022,93.56,27380950,93.09,93.87,91.9
12/09/2022,93.07,21885310,93.9,94.49,93.02
12/08/2022,93.95,25593230,95.69,95.87,93.8
12/07/2022,95.15,26647880,96.77,97.31,95.03
12/06/2022,97.31,20877620,99.67,100.21,96.76
12/05/2022,99.87,19955550,99.82,101.75,99.36
12/02/2022,100.83,18821530,99.37,101.15,99.17
12/01/2022,101.28,21771540,101.4,102.59,100.67
11/30/2022,101.45,39888070,95.12,101.45,94.67
11/29/2022,95.44,20220010,96,96.39,94.39
11/28/2022,96.25,19981970,97.2,97.83,95.89
11/25/2022,97.6,8567819,98.47,98.94,97.53
11/23/2022,98.82,17568860,97.34,99.07,97.34
11/22/2022,97.33,18868850,96.16,97.55,94.41
11/21/2022,95.83,18696870,97.56,98.72,95.67
11/18/2022,97.8,24969880,99.01,99.16,96.74
11/17/2022,98.5,21818730,97.18,99.48,97.1
11/16/2022,98.99,24660200,98.02,99.85,97.9
11/15/2022,98.72,31830970,98.67,100.42,97.02
11/14/2022,96.03,24170080,95.5,97.18,95.11
11/11/2022,96.73,30569110,94.71,97.36,94.16
11/10/2022,94.17,42371220,92.34,94.55,91.65
11/09/2022,87.4,26743880,88.55,89.49,87.36
11/08/2022,88.91,30172000,89.16,90.41,87.65
11/07/2022,88.65,26899880,87.34,88.94,86.96
11/04/2022,86.7,40173280,85.51,86.73,83.88
11/03/2022,83.49,48510360,86.35,86.55,83.45
11/02/2022,87.07,43553550,90.91,91.3,87.01
11/01/2022,90.5,43220600,95.59,96.17,90.43
10/31/2022,94.66,29868710,95.78,96.35,94.38
10/28/2022,96.58,35696930,92.53,96.86,92.32
10/27/2022,92.6,54036490,94.31,95.17,91.9
10/26/2022,94.82,71671810,96.76,98.54,94.57
10/25/2022,104.93,29910170,103.3,105.1,103.02
10/24/2022,102.97,24680830,102.09,103.1,100.3
10/21/2022,101.48,28988730,98.46,101.62,98.23
10/20/2022,100.53,25125080,100.82,103,99.97
10/19/2022,100.29,21573690,100.7,101.66,99.64
10/18/2022,101.39,21610540,103.94,104.22,100.65
10/17/2022,100.78,23311600,99.52,101.77,99.51
10/14/2022,97.18,22624830,100.63,101.29,97.03
10/13/2022,99.71,32812220,95.93,100.53,95.27
10/12/2022,98.3,17343430,98.27,99.65,97.67
10/11/2022,98.05,21617730,98.25,100.12,97.25
10/10/2022,98.71,16529900,99.85,99.99,97.87
10/07/2022,99.57,24249910,100.65,101.42,99.21
10/06/2022,102.24,17156240,101.5,103.73,101.5
10/05/2022,102.22,18475520,100.69,102.74,99.74
10/04/2022,102.41,22580930,101.04,102.72,101.04
10/03/2022,99.3,24840030,97.22,99.97,97.02
09/30/2022,96.15,26277830,97.73,99.49,96.03
09/29/2022,98.09,21921520,99.3,99.3,96.52
09/28/2022,100.74,24617000,98.02,101.4,97.8
09/27/2022,98.09,24224990,99.91,100.46,97.34
09/26/2022,98.81,22437940,98.61,100.44,98.38
09/23/2022,99.17,25656960,100.06,100.11,98.01
09/22/2022,100.57,21272680,99.45,101.68,99.41
09/21/2022,100.01,26596760,102.24,103.49,99.99
09/20/2022,101.83,24001670,102.88,103.17,101.12
09/19/2022,103.85,19738600,102.54,104.02,102.37
09/16/2022,103.63,64540120,102.97,104.03,101.86
09/15/2022,103.9,26494930,105.01,106.21,103.31
09/14/2022,105.87,22115810,105.44,106.1,104.5
09/13/2022,105.31,33014990,108.89,109.37,105
09/12/2022,111.87,19732910,111.99,112.64,110.93
09/09/2022,111.78,21745030,110.05,112,110
09/08/2022,109.42,21660650,109.18,110.58,108.06
09/07/2022,110.48,22987180,107.76,110.99,107.62
09/06/2022,107.48,20565050,108.14,108.88,106.51
09/02/2022,108.68,20618080,111.34,111.68,108.13
09/01/2022,110.55,22784390,109.2,111.22,108.19
08/31/2022,109.15,25897980,111.63,111.77,109.05
08/30/2022,109.91,20548200,111.03,111.37,108.8
08/29/2022,110.34,20386140,110.78,111.96,109.81
08/26/2022,111.3,31698670,115.81,116.6,111.22
08/25/2022,117.7,14874670,115.15,117.78,115.05
08/24/2022,114.7,16051170,114.45,115.72,113.78
08/23/2022,114.77,14390690,114.32,115.93,114.3
08/22/2022,115.07,19316020,116.1,116.5,114.67
08/19/2022,118.12,20186980,119.87,120,117.67
08/18/2022,120.86,15652030,120.23,121.69,119.55
08/17/2022,120.32,17589160,120.93,122.15,120.2
08/16/2022,122.51,15626170,122.32,123.23,121.54
08/15/2022,122.88,15524950,122.21,123.26,121.57
08/12/2022,122.65,16121090,121.16,122.65,120.4
08/11/2022,119.82,16671630,122.08,122.34,119.55
08/10/2022,120.65,20497020,119.59,121.78,119.36
08/09/2022,117.5,15424260,117.99,118.2,116.56
08/08/2022,118.14,17061110,119.12,120.86,117.83
08/05/2022,118.22,15615660,116.93,118.86,116.71
08/04/2022,118.87,15757700,118.3,119.5,117.71
08/03/2022,118.78,25302820,116.34,119.42,116.15
08/02/2022,115.9,17911040,114.43,117.08,114.26
08/01/2022,115.48,22856200,115.53,117.12,114.69
07/29/2022,116.64,31336180,113.4,116.9,113.23
07/28/2022,114.59,23303840,112.8,114.7,111.85
07/27/2022,113.6,41474620,109.6,114.4,108.42
07/26/2022,105.44,36626630,107.43,107.74,104.76
07/25/2022,108.21,28289940,108.88,110.58,107.01
07/22/2022,108.36,44455300,111.81,113.18,107.6
07/21/2022,115.04,27267850,115.09,115.21,111.91
07/20/2022,114.7,26780090,114.06,116.33,113.26
07/19/2022,114.62,30992330,111.73,114.81,110.5
07/18/2022,109.91,33353990,113.44,114.8,109.3
07/15/2022,112.77,34330760,112.96,114,111.82
07/14/2022,111.44,32365540,110.83,111.99,109.33
07/13/2022,112.19,38958860,112.64,115.16,111.82
07/12/2022,114.85,24970160,116.84,117.85,114.62
07/11/2022,116.52,26830460,118.65,118.79,116.23
07/08/2022,120.17,29082200,117.55,120.44,117.51
07/07/2022,119.31,32183940,116.01,119.86,115.53
07/06/2022,115.21,28852680,114.09,116.35,112.25
07/05/2022,113.89,36429380,107.51,114.05,106.25
07/01/2022,109.08,31027880,108.34,109.81,107.11
06/30/2022,109.37,38046040,110.5,111.33,107.31
06/29/2022,112.26,18627860,112.15,113.66,111.55
06/28/2022,112.57,28316220,116.35,117.86,112.44
06/27/2022,116.62,32839300,118.94,119.25,116
06/24/2022,118.54,39122760,113.6,118.64,113.6
06/23/2022,112.68,24709720,112.95,113.2,111.03
06/22/2022,112.03,23921720,111.16,113.77,110.72
06/21/2022,112.02,39010280,109.7,112.67,109.29
06/17/2022,107.87,43516660,106.54,109.25,105.63
06/16/2022,106.64,35313240,108.15,109.29,105.79
06/15/2022,110.39,33192020,108.9,112.06,108.12
06/14/2022,107.19,25480940,106.89,108.46,106.35
06/13/2022,106.88,36756200,107.45,109.22,106.59
06/10/2022,111.43,31349740,112.78,113.5,110.86
06/09/2022,114.92,23141600,116.34,118.35,114.87
06/08/2022,117.24,22544260,116.88,118.65,116.7
06/07/2022,117.23,26413540,115.65,117.75,115.13
06/06/2022,117.01,23786720,116.74,119.4,116.53
06/03/2022,114.56,24952080,115.99,116.36,113.67
06/02/2022,117.75,27495400,114.19,117.9,113.31
06/01/2022,114.14,28629280,114.93,117.4,113.55
05/31/2022,114.04,51301920,113.08,116.43,112.57
05/27/2022,112.8,29924420,109.79,112.87,109.55
05/26/2022,108.3,30287480,106.05,108.96,105.49
05/25/2022,105.84,37899340,105.14,106.54,104.21
05/24/2022,105.93,60386380,106.38,106.4,102.21
05/23/2022,111.67,31558220,110.1,112.01,109.15
05/20/2022,109.31,37586020,112.09,112.55,106.37
05/19/2022,110.75,29191740,111.84,113.59,110.47
05/18/2022,112.4,27982760,115.24,115.7,112.14
05/17/2022,116.7,21576080,117.23,117.23,115.34
05/16/2022,114.79,23282380,115.38,116.61,114.34
05/13/2022,116.52,29737560,114.85,118.09,114
05/12/2022,113.16,41464880,111.94,114.86,110.11
05/11/2022,113.96,36501640,113.71,116.67,113.65
05/10/2022,114.58,31157780,116.04,116.69,113.38
05/09/2022,113.08,34520960,113.3,115.56,112.55
05/06/2022,115.66,35309480,115.52,117.5,114.14
05/05/2022,116.75,43089040,120.22,121.23,115.18
05/04/2022,122.58,33231460,118,123.14,115.74
05/03/2022,118.13,21215740,116.77,119.3,116.63
05/02/2022,117.16,30279640,113.91,117.34,113.4
04/29/2022,114.97,33693100,117.58,118.96,114.69
04/28/2022,119.41,36790940,117.12,120.44,115.14
04/27/2022,115.02,62238120,114.37,117.5,113.12
04/26/2022,119.51,49393040,122.75,122.75,119.16
04/25/2022,123.25,34521800,119.43,123.28,118.77
04/22/2022,119.61,46410300,125,125.45,119.14
04/21/2022,124.94,30157540,129.35,130.31,124.65
04/20/2022,128.25,22609380,131.28,131.92,127.89
04/19/2022,130.53,22719300,128.08,130.9,127.45
04/18/2022,127.96,14917200,127.41,128.71,126.58
04/14/2022,127.25,23483360,130.65,130.71,127.11
04/13/2022,130.29,19542960,128.63,130.66,128.44
04/12/2022,128.37,23003220,132.42,132.42,127.58
04/11/2022,129.8,24187340,132.9,132.94,129.62
04/08/2022,134.01,16434480,136.25,136.25,133.75
04/07/2022,136.47,19448540,136.62,137.7,134.86
04/06/2022,137.18,23574600,139.16,139.85,136.42
04/05/2022,141.06,19255560,143.4,143.59,140.94
04/04/2022,143.64,19084900,140.82,144.04,140.82
04/01/2022,140.7,23480020,140.01,140.95,138.8
03/31/2022,139.65,29516320,142.45,142.64,139.62
03/30/2022,142.64,21046380,142.87,143.48,142.17
03/29/2022,143.25,28678420,143.16,144.16,142.48
03/28/2022,141.95,23773080,140.68,141.98,139.83
03/25/2022,141.52,19289080,141.75,141.96,139.7
03/24/2022,141.31,20544720,139.27,141.4,138.04
03/23/2022,138.5,25302320,139.14,140.03,138.17
03/22/2022,140.28,29776860,136.5,141.5,136.5
03/21/2022,136.48,26632460,136.85,137.58,134.61
03/18/2022,136.8,45899700,133.88,136.91,132.93
03/17/2022,134.6,23994380,133.32,134.74,132.72
03/16/2022,133.69,32058200,131,133.77,129.2
03/15/2022,129.66,30292600,127.74,130.52,126.57
03/14/2022,126.74,30253860,130.57,131.03,126.41
03/11/2022,130.48,26599800,134,134.2,130.3
03/10/2022,132.68,24265200,131.46,133.54,131.4
03/09/2022,133.87,32257440,131.4,134.2,130.09
03/08/2022,127.28,35249560,126.25,131.25,125.86
03/07/2022,126.46,39177900,131.9,131.9,126.41
03/04/2022,132.12,24472240,133.38,134.2,130.41
03/03/2022,134.31,19779300,135.98,136.71,133.43
03/02/2022,134.75,23966740,134.61,135.62,133.43
03/01/2022,134.17,24639920,134.48,136.11,133.38
02/28/2022,134.89,29675680,133.28,135.64,132.83
02/25/2022,134.52,26235860,133.53,135.39,131.77
02/24/2022,132.67,43165080,125,133.04,124.76
02/23/2022,127.59,26431280,131.08,131.75,127.5
02/22/2022,129.4,38906580,129.99,131.9,127.74
02/18/2022,130.47,31858600,133.04,133.82,130.31
02/17/2022,132.31,30968120,136.15,136.84,132.2
02/16/2022,137.49,25609660,136.43,137.95,134.82
02/15/2022,136.43,26577560,137.47,137.9,135.54
02/14/2022,135.3,26792800,133.37,136.17,133.3
02/11/2022,134.13,38808800,138.75,139.28,133.29
02/10/2022,138.6,33017700,139.5,141.43,138.05
02/09/2022,141.45,28627160,140.85,142.18,140.38
02/08/2022,139.21,34255040,138.99,139.84,136.87
02/07/2022,138.94,44610740,143.71,143.85,138.7
02/04/2022,143.02,49224400,143.02,144.54,139.82
02/03/2022,142.65,56930140,145.3,149.12,142.21
02/02/2022,148.04,89750760,151.86,152.1,145.56
02/01/2022,137.88,51203200,137.84,138.2,134.57
01/31/2022,135.7,34055560,134.2,135.84,132.27
01/28/2022,133.29,30517560,130,133.37,128.69
01/27/2022,129.12,30285020,131.36,132.61,128.95
01/26/2022,129.24,39630880,130.59,132.81,127.15
01/25/2022,126.74,36008600,128.44,129.34,126.38
01/24/2022,130.37,55292040,126.03,130.78,124.64
01/21/2022,130.09,41919220,133.01,134.76,130
01/20/2022,133.51,21930560,136.51,137.91,133.14
01/19/2022,135.65,20795280,136.94,138.4,135.5
01/18/2022,136.29,27401960,136.6,137.39,135.62
01/14/2022,139.79,23825920,137.5,141.2,137.5
01/13/2022,139.13,26565080,141.84,143.19,138.91
01/12/2022,141.65,23641580,141.55,142.81,141.11
01/11/2022,140.02,23501240,138.18,140.33,136.81
01/10/2022,138.57,34095680,135.1,138.64,133.14
01/07/2022,137,19408240,137.91,138.25,135.79
01/06/2022,137.55,29049040,137.5,139.69,136.76
01/05/2022,137.65,49641520,144.18,144.3,137.52
01/04/2022,144.42,22927780,145.55,146.61,143.82
01/03/2022,145.07,25224500,144.48,145.55,143.5
12/31/2021,144.68,17297700,145.54,146.37,144.68
12/30/2021,146,12977020,146.45,147.06,145.76
12/29/2021,146.5,17024720,146.43,147.18,145.5
12/28/2021,146.45,18635840,148.37,148.37,145.94
12/27/2021,148.06,13259320,147.46,148.43,147.25
12/23/2021,147.14,13818680,147.09,148.57,146.95
12/22/2021,146.95,18440480,144.1,147.3,143.96
12/21/2021,144.22,19551940,143.15,144.69,141.74
12/20/2021,142.4,20263520,140.68,142.61,140.25
12/17/2021,142.8,43404700,142.71,144.46,141.79
12/16/2021,144.84,27399740,148.08,148.55,144.09
12/15/2021,147.37,27280960,144.37,147.52,142.71
12/14/2021,144.97,24778800,144.77,145.44,142.24
12/13/2021,146.7,24103920,148.44,148.56,146.36
12/10/2021,148.68,21638460,149.1,149.4,147.36
12/09/2021,148.11,18580600,148.18,149.61,147.53
12/08/2021,148.72,18963940,148.33,149.16,147.2
12/07/2021,148.04,23258280,145.95,148.3,145.7
12/06/2021,143.8,22197700,143.57,144.35,140.65
12/03/2021,142.52,26687480,144.5,145.21,141.15
12/02/2021,143.78,21250700,141.82,144.68,140.98
12/01/2021,141.62,28545780,144.21,146.5,141.5
11/30/2021,142.45,41590520,145.45,146.63,142.07
11/29/2021,146.11,26276120,144.3,146.86,144.3
11/26/2021,142.81,16992120,145.02,145.3,142.49
11/24/2021,146.72,16464060,146.35,147,145.2
11/23/2021,146.76,18133140,147.11,147.69,144.89
11/22/2021,147.08,24627700,150.14,150.74,147.01
11/19/2021,149.95,19782960,151,151.85,149.89
11/18/2021,150.71,26682400,149.15,151.61,149
11/17/2021,149.06,15290820,149.23,149.63,148.56
11/16/2021,149.08,17254860,149.17,149.83,148.35
11/15/2021,149.39,16247340,150,150.48,148.65
11/12/2021,149.65,17047660,147.83,149.86,146.45
11/11/2021,146.75,12463100,147.11,148.5,146.69
11/10/2021,146.63,22708320,148.01,148.7,145.33
11/09/2021,149.25,16875560,149.75,150.38,147.51
11/08/2021,149.35,18388140,150,151.03,149.12
11/05/2021,149.24,20408140,149.35,150.57,148.65
11/04/2021,148.68,24700800,147.2,149.95,146.64
11/03/2021,146.79,17886600,146.28,146.91,145.05
11/02/2021,145.86,21150580,144.81,146.92,144.64
11/01/2021,143.77,32272100,148.17,148.4,143.58
10/29/2021,148.27,28954500,145.52,148.61,145.17
10/28/2021,146.13,32418060,147.3,147.42,144.76
10/27/2021,146.43,51850920,139.9,149.12,139.9
10/26/2021,139.67,28258740,140.61,140.84,139.01
10/25/2021,138.77,21081700,138.81,139.21,136.75
10/22/2021,138.63,30182640,140.35,141.56,137.17
10/21/2021,142.78,14849920,142.19,142.85,141.64
10/20/2021,142.42,17939500,144.22,144.25,141.91
10/19/2021,143.82,15315840,143.29,144.11,143.1
10/18/2021,142.96,16567200,141.21,143,141.21
10/15/2021,141.68,21253360,142.2,142.2,141.06
10/14/2021,141.41,21437560,139.95,141.65,139.34
10/13/2021,137.9,16393280,137.75,138.55,136.98
10/12/2021,136.71,22535020,139.64,139.7,136.25
10/11/2021,138.85,16584760,139.8,140.76,138.81
10/08/2021,140.06,18928420,139.91,140.32,139.43
10/07/2021,139.19,18250460,138.86,140.15,138.56
10/06/2021,137.35,19764320,134.63,137.85,134.49
10/05/2021,136.18,24126740,134,137.36,134
10/04/2021,133.77,31529900,135.7,135.7,131.17
10/01/2021,136.46,28387300,133.55,137.07,133.38
09/30/2021,133.27,35363980,134.33,135.59,133
